epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.7162,0.86591,2.72777,1.05142,0.00333,1,0.99192,0.65823,0.87476,2.7476,0.87161,0.0001,0.0001,0.0001
2,117.735,0.91725,1.52388,1.01461,1,0.99511,0.995,0.66981,0.9336,1.97553,0.89868,0.000215644,0.000215644,0.000215644
3,177.056,0.92526,1.20264,0.99145,0.99583,1,0.995,0.66374,1.03035,2.13953,0.88946,0.000326536,0.000326536,0.000326536
4,230.988,0.91554,1.14549,0.99331,0.97898,1,0.995,0.72923,0.92186,1.90102,0.90279,0.000432676,0.000432676,0.000432676
5,288.185,0.84048,1.08256,0.97274,1,0.9968,0.995,0.76481,0.89673,1.80708,0.90854,0.000534064,0.000534064,0.000534064
6,349.299,0.87356,1.09365,0.98575,1,0.87111,0.995,0.75185,0.8875,2.04347,0.86942,0.0006307,0.0006307,0.0006307
7,450.079,0.95704,1.03621,0.99264,1,0.76547,0.995,0.75196,0.87744,2.14113,0.87017,0.000722584,0.000722584,0.000722584
8,550.111,0.89688,1.02364,0.98017,1,0.49995,0.995,0.72513,1.0122,2.31182,0.9347,0.000809716,0.000809716,0.000809716
9,22473.1,0.89202,0.95746,0.97674,1,0.38614,0.88582,0.53108,1.1215,2.70905,1.08224,0.000892096,0.000892096,0.000892096
10,22567.6,0.94568,1.03293,1.01017,1,0.68723,0.99192,0.76178,0.97794,2.18086,0.95971,0.000969724,0.000969724,0.000969724
11,22646.2,0.83289,0.9268,0.97441,1,0.88216,0.995,0.75244,0.90986,1.8561,0.8668,0.0010426,0.0010426,0.0010426
12,22722,0.83738,0.8479,0.95832,0.99495,1,0.995,0.74346,0.99578,1.71248,0.91398,0.00111072,0.00111072,0.00111072
13,22794.8,0.83837,0.86723,0.94864,0.98083,1,0.995,0.75315,1.07117,1.54318,0.9166,0.0011741,0.0011741,0.0011741
14,22901,0.86699,0.90622,0.97785,0.98893,1,0.995,0.74543,0.87723,1.38692,0.87291,0.00123272,0.00123272,0.00123272
15,23038,0.81686,0.8594,0.94602,0.99022,0.95833,0.9934,0.72125,0.97698,1.37072,0.89487,0.00128658,0.00128658,0.00128658
16,23171.3,0.80956,0.83301,0.95678,0.95775,0.94502,0.98054,0.76005,0.79826,1.23173,0.86443,0.0013357,0.0013357,0.0013357
17,23239.7,0.8355,0.82641,0.9921,1,0.99558,0.995,0.75233,0.83489,1.17896,0.87827,0.0013664,0.0013664,0.0013664
18,23317.1,0.79005,0.77805,0.96026,0.99133,1,0.995,0.75005,0.99766,1.19667,0.91035,0.0013268,0.0013268,0.0013268
19,23388,0.77009,0.78149,0.93335,0.99363,1,0.995,0.77452,0.94292,1.10436,0.87615,0.0012872,0.0012872,0.0012872
20,23455.3,0.78256,0.76979,0.93972,0.99823,1,0.995,0.76857,0.8488,0.94062,0.86672,0.0012476,0.0012476,0.0012476
21,23531.2,0.79309,0.74691,0.96731,0.99919,1,0.995,0.7556,0.91484,0.89561,0.87538,0.001208,0.001208,0.001208
22,34794,0.80686,0.72209,0.95454,0.99632,1,0.995,0.72689,1.01308,0.91034,0.88913,0.0011684,0.0011684,0.0011684
