epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.544,0.86591,2.72777,1.05142,0.00333,1,0.99192,0.65823,0.87476,2.7476,0.87161,0.0001,0.0001,0.0001
2,195.594,0.91723,1.52385,1.01461,1,0.99505,0.995,0.6698,0.93398,1.97604,0.89877,0.000215644,0.000215644,0.000215644
3,345.369,0.92551,1.20378,0.99154,0.99525,1,0.995,0.66416,1.0354,2.13579,0.89012,0.000326536,0.000326536,0.000326536
4,407.031,0.91461,1.14695,0.99331,0.97833,1,0.995,0.72746,0.93003,1.89545,0.90541,0.000432676,0.000432676,0.000432676
5,520.79,0.84331,1.07606,0.97207,1,0.98634,0.995,0.75517,0.89705,1.82349,0.90695,0.000534064,0.000534064,0.000534064
6,660.06,0.86975,1.08553,0.98955,1,0.81827,0.99026,0.75716,0.89681,2.09117,0.87771,0.0006307,0.0006307,0.0006307
7,744.194,0.95611,1.02051,0.99395,1,0.74799,0.995,0.7544,0.94251,2.17072,0.88483,0.000722584,0.000722584,0.000722584
8,876.511,0.90251,1.02608,0.97643,0.99944,1,0.995,0.7256,0.95481,1.98292,0.90679,0.000809716,0.000809716,0.000809716
9,949.199,0.91233,0.95827,0.97202,1,0.583,0.81337,0.59255,1.09032,2.50009,1.05182,0.000892096,0.000892096,0.000892096
10,1087.16,0.90296,1.00146,0.99515,0.97515,0.66667,0.81251,0.61891,0.97215,2.17392,0.99037,0.000969724,0.000969724,0.000969724
11,1183.44,0.82953,0.89817,0.97853,1,0.91428,0.995,0.77687,0.9109,1.63222,0.89416,0.0010426,0.0010426,0.0010426
12,1294.06,0.82112,0.86164,0.95711,0.9898,1,0.995,0.70563,0.97028,1.65881,0.92817,0.00111072,0.00111072,0.00111072
13,1401.22,0.85074,0.87985,0.95714,0.9888,1,0.995,0.72311,1.00183,1.51708,0.87974,0.0011741,0.0011741,0.0011741
14,1484.62,0.83733,0.8691,0.98063,0.99313,1,0.995,0.68635,1.05416,1.31804,0.91856,0.00123272,0.00123272,0.00123272
15,1598.22,0.78413,0.81796,0.93757,1,0.99496,0.995,0.7182,1.00713,1.29146,0.92126,0.00128658,0.00128658,0.00128658
16,1789.7,0.8168,0.83529,0.9594,0.98847,1,0.995,0.73506,0.89504,1.45908,0.8872,0.0013357,0.0013357,0.0013357
17,1977.41,0.84223,0.8388,0.98147,0.92133,0.9764,0.98692,0.73388,0.90689,1.5332,0.87533,0.0013664,0.0013664,0.0013664
18,2183.98,0.77902,0.80234,0.95245,0.99722,1,0.995,0.75628,0.97191,0.93528,0.87339,0.0013268,0.0013268,0.0013268
